Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Lexus LC500h,242.19,12.3,5,Luxury,Diesel,Manual,New,Luxury,Blue,Recommended
Lamborghini Huracan,47.86,13.1,2,Luxury,Petrol,Manual,Used,Luxury,Blue,Recommended
Aston Martin Vantage,282.52,8.6,2,Luxury,Diesel,Manual,Used,Luxury,White,Not Recommended
BMW Z4,99.96,6.3,5,Luxury,Diesel,Automatic,Used,Family,Blue,Recommended
Range Rover Sport,194.09,7.0,2,Luxury,Petrol,Manual,Used,Family,Grey,Recommended
Ferrari Roma,53.03,8.5,2,Luxury,Diesel,Manual,Used,Family,White,Recommended
Ferrari Roma,295.26,7.7,2,Luxury,Hybrid,Manual,New,Sports,White,Not Recommended
Jaguar F-Type,189.5,11.8,2,Luxury,Diesel,Automatic,Used,Luxury,Grey,Not Recommended
Mercedes S-Class,102.51,10.4,5,Luxury,Petrol,Manual,Used,Family,Black,Not Recommended
Land Rover Range Rover,277.7,14.0,5,Luxury,Hybrid,Manual,Used,Luxury,Blue,Recommended
Range Rover Sport,140.35,13.2,5,Luxury,Hybrid,Automatic,Used,Sports,White,Recommended
Range Rover Sport,33.38,11.7,5,Luxury,Hybrid,Automatic,Used,Family,Red,Recommended
BMW Z4,55.61,9.5,5,Luxury,Diesel,Automatic,New,Sports,Red,Not Recommended
Porsche Panamera,218.03,9.1,4,Luxury,Hybrid,Automatic,Used,Sports,Black,Recommended
BMW M4,249.36,6.6,2,Luxury,Diesel,Automatic,Used,Sports,Blue,Recommended
Lamborghini Huracan,152.72,8.0,4,Luxury,Petrol,Automatic,Used,Family,Red,Not Recommended
Aston Martin Vantage,266.21,6.1,5,Luxury,Petrol,Manual,Used,Family,Red,Not Recommended
Porsche Panamera,173.17,10.4,2,Luxury,Diesel,Manual,New,Sports,Grey,Not Recommended
Porsche Panamera,158.48,10.5,2,Luxury,Diesel,Automatic,New,Sports,Black,Not Recommended
Aston Martin Vantage,204.1,14.8,4,Luxury,Petrol,Manual,New,Sports,Grey,Recommended
BMW M5,54.76,11.4,5,Luxury,Hybrid,Manual,Used,Luxury,Black,Not Recommended
Jaguar XF,179.12,10.6,5,Luxury,Diesel,Automatic,New,Family,Blue,Recommended
Mercedes S-Class,262.47,10.2,4,Luxury,Diesel,Automatic,New,Sports,Red,Not Recommended
Jaguar F-Type,136.78,10.5,5,Luxury,Diesel,Automatic,New,Luxury,Black,Recommended
Mercedes AMG GT,71.13,8.3,4,Luxury,Hybrid,Manual,New,Sports,Red,Recommended
Mercedes AMG GT,49.38,7.2,4,Luxury,Petrol,Manual,Used,Family,Black,Not Recommended
Jaguar F-Type,159.03,12.3,5,Luxury,Hybrid,Manual,New,Sports,Black,Recommended
Bentley Continental GT,56.42,6.6,5,Luxury,Petrol,Manual,New,Luxury,Grey,Not Recommended
Bentley Continental GT,262.65,6.7,4,Luxury,Petrol,Manual,Used,Family,White,Recommended
Porsche Panamera,151.27,11.9,2,Luxury,Petrol,Manual,Used,Family,White,Not Recommended
Ferrari Roma,247.22,11.7,4,Luxury,Hybrid,Manual,New,Family,Blue,Recommended
Audi RS5,188.66,12.2,5,Luxury,Hybrid,Automatic,New,Sports,Grey,Not Recommended
Porsche Panamera,48.94,13.6,4,Luxury,Diesel,Automatic,Used,Luxury,Blue,Not Recommended
BMW Z4,148.4,6.9,4,Luxury,Petrol,Manual,New,Family,Black,Not Recommended
Mercedes S-Class,222.09,14.1,5,Luxury,Petrol,Automatic,Used,Sports,Red,Not Recommended
Bentley Continental GT,246.53,9.2,5,Luxury,Diesel,Automatic,Used,Luxury,Grey,Not Recommended
Audi RS5,221.45,13.6,5,Luxury,Diesel,Manual,Used,Luxury,Red,Recommended
Porsche Cayenne,135.97,12.3,4,Luxury,Petrol,Manual,Used,Sports,White,Not Recommended
Mercedes S-Class,164.72,14.6,5,Luxury,Diesel,Manual,New,Luxury,Grey,Recommended
BMW M4,44.09,11.4,4,Luxury,Petrol,Manual,New,Sports,Red,Not Recommended
Lexus LC500h,269.53,7.8,4,Luxury,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Audi RS7,90.42,13.5,5,Luxury,Diesel,Automatic,New,Sports,White,Not Recommended
Lexus LC500h,217.24,13.7,5,Luxury,Petrol,Automatic,New,Family,Blue,Recommended
Jaguar F-Type,162.31,8.8,4,Luxury,Hybrid,Automatic,Used,Sports,Grey,Not Recommended
Lamborghini Huracan,128.57,13.5,5,Luxury,Petrol,Manual,New,Family,Red,Recommended
BMW Z4,167.04,10.1,5,Luxury,Diesel,Manual,New,Sports,Blue,Not Recommended
Land Rover Range Rover,167.74,6.0,5,Luxury,Petrol,Automatic,New,Family,Black,Recommended
Rolls-Royce Ghost,132.3,7.0,2,Luxury,Diesel,Automatic,Used,Sports,White,Not Recommended
BMW M4,94.69,6.1,5,Luxury,Petrol,Automatic,New,Family,Grey,Not Recommended
Audi A8L,220.56,9.3,5,Luxury,Diesel,Automatic,New,Sports,Blue,Not Recommended
Lexus LC500h,67.85,7.3,5,Luxury,Diesel,Manual,New,Luxury,Grey,Not Recommended
Audi RS5,163.52,13.5,5,Luxury,Petrol,Automatic,Used,Family,White,Not Recommended
Land Rover Range Rover,140.78,14.1,2,Luxury,Petrol,Automatic,New,Family,Grey,Not Recommended
Ferrari Roma,151.28,9.3,2,Luxury,Petrol,Automatic,Used,Luxury,White,Not Recommended
Mercedes S-Class,88.2,7.5,5,Luxury,Hybrid,Manual,New,Sports,Red,Recommended
Porsche Cayenne,245.52,14.2,4,Luxury,Petrol,Automatic,New,Luxury,Grey,Recommended
Bentley Continental GT,110.44,8.8,4,Luxury,Hybrid,Manual,New,Sports,Red,Not Recommended
Jaguar XF,276.48,14.8,2,Luxury,Petrol,Manual,Used,Sports,White,Not Recommended
Jaguar XF,158.77,10.9,2,Luxury,Diesel,Manual,Used,Family,White,Not Recommended
Porsche 911,270.77,11.1,2,Luxury,Petrol,Automatic,Used,Luxury,Blue,Not Recommended
Porsche Panamera,47.65,5.5,5,Luxury,Petrol,Manual,New,Sports,White,Recommended
Rolls-Royce Ghost,226.66,6.8,2,Luxury,Hybrid,Manual,Used,Luxury,Red,Not Recommended
BMW M4,233.12,14.5,5,Luxury,Petrol,Manual,Used,Family,White,Recommended
Jaguar XF,297.96,5.7,5,Luxury,Petrol,Automatic,Used,Luxury,Blue,Not Recommended
Ferrari Roma,38.6,9.2,4,Luxury,Diesel,Manual,Used,Luxury,White,Not Recommended
Lamborghini Huracan,80.14,10.0,2,Luxury,Petrol,Automatic,New,Sports,Blue,Not Recommended
Mercedes S-Class,81.06,6.3,5,Luxury,Hybrid,Manual,Used,Sports,Grey,Recommended
Range Rover Sport,94.02,5.6,2,Luxury,Diesel,Automatic,New,Family,Black,Recommended
Lamborghini Huracan,248.09,12.1,5,Luxury,Petrol,Automatic,New,Luxury,Grey,Not Recommended
Jaguar F-Type,264.79,7.6,2,Luxury,Petrol,Manual,Used,Family,Grey,Not Recommended
BMW Z4,105.83,5.6,5,Luxury,Diesel,Automatic,Used,Luxury,Black,Not Recommended
Porsche Panamera,111.56,5.8,5,Luxury,Petrol,Manual,New,Luxury,White,Not Recommended
Audi A8L,46.84,6.7,2,Luxury,Petrol,Automatic,New,Family,Black,Not Recommended
Rolls-Royce Ghost,128.06,8.4,4,Luxury,Diesel,Automatic,Used,Sports,Grey,Not Recommended
Audi A8L,52.7,5.2,2,Luxury,Petrol,Manual,Used,Luxury,Black,Not Recommended
Mercedes S-Class,129.8,13.0,4,Luxury,Petrol,Automatic,New,Sports,Black,Not Recommended
Rolls-Royce Phantom,200.58,11.6,4,Luxury,Hybrid,Manual,New,Family,Blue,Recommended
Ferrari Roma,86.54,14.9,4,Luxury,Diesel,Manual,Used,Luxury,Red,Not Recommended
Aston Martin Vantage,107.68,10.9,5,Luxury,Diesel,Manual,New,Luxury,Red,Not Recommended
Lexus LC500h,177.4,12.8,2,Luxury,Diesel,Automatic,Used,Sports,Blue,Recommended
Mercedes AMG GT,86.6,11.7,5,Luxury,Petrol,Automatic,Used,Luxury,Grey,Recommended
Range Rover Sport,266.45,9.9,4,Luxury,Petrol,Automatic,New,Sports,Black,Recommended
Audi RS7,176.16,14.7,5,Luxury,Diesel,Automatic,Used,Sports,Black,Not Recommended
Audi A8L,60.55,12.9,5,Luxury,Diesel,Automatic,New,Luxury,Blue,Recommended
Ferrari Roma,283.01,6.4,5,Luxury,Diesel,Automatic,New,Family,Blue,Not Recommended
Jaguar XF,152.16,9.8,2,Luxury,Petrol,Automatic,New,Sports,White,Recommended
Audi RS7,65.47,7.1,2,Luxury,Petrol,Automatic,New,Family,Red,Not Recommended
Audi RS7,105.83,11.8,5,Luxury,Petrol,Automatic,Used,Sports,Blue,Not Recommended
Bentley Continental GT,159.06,5.3,2,Luxury,Petrol,Manual,Used,Sports,Black,Recommended
Mercedes AMG GT,237.87,12.7,4,Luxury,Diesel,Automatic,Used,Luxury,Red,Recommended
Range Rover Sport,239.28,8.1,4,Luxury,Petrol,Manual,Used,Luxury,Black,Not Recommended
Audi RS5,83.87,13.2,2,Luxury,Petrol,Manual,New,Luxury,Red,Recommended
Porsche Cayenne,239.07,14.7,5,Luxury,Hybrid,Automatic,Used,Luxury,Blue,Recommended
BMW M4,71.13,5.6,5,Luxury,Diesel,Automatic,New,Family,Black,Not Recommended
Porsche 911,125.86,7.2,4,Luxury,Petrol,Automatic,New,Sports,Blue,Not Recommended
Audi A8L,41.56,7.2,5,Luxury,Hybrid,Manual,Used,Family,Blue,Recommended
BMW M5,172.76,14.0,2,Luxury,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Lexus LC500h,234.73,14.9,5,Luxury,Diesel,Automatic,New,Family,Blue,Not Recommended
Porsche 911,98.32,8.6,4,Luxury,Diesel,Manual,New,Family,Red,Recommended
Audi RS5,82.56,14.2,5,Luxury,Hybrid,Manual,Used,Luxury,Blue,Not Recommended
Porsche Cayenne,161.32,11.8,2,Luxury,Hybrid,Manual,Used,Luxury,White,Recommended
Audi RS5,61.43,8.6,5,Luxury,Diesel,Automatic,Used,Family,White,Recommended
BMW M5,237.99,6.5,2,Luxury,Hybrid,Manual,New,Luxury,Grey,Not Recommended
Range Rover Sport,256.81,14.5,4,Luxury,Diesel,Automatic,Used,Sports,Red,Recommended
Porsche 911,104.3,7.4,2,Luxury,Hybrid,Automatic,New,Family,Blue,Recommended
Jaguar XF,146.0,10.9,2,Luxury,Diesel,Automatic,Used,Sports,White,Recommended
Range Rover Sport,54.91,13.7,4,Luxury,Hybrid,Automatic,Used,Family,Black,Recommended
Mercedes AMG GT,140.48,14.3,4,Luxury,Petrol,Manual,Used,Family,White,Recommended
Rolls-Royce Ghost,194.65,8.9,2,Luxury,Hybrid,Manual,New,Luxury,White,Recommended
Rolls-Royce Ghost,140.81,14.4,2,Luxury,Petrol,Manual,Used,Luxury,Black,Not Recommended
BMW Z4,229.81,7.9,5,Luxury,Hybrid,Automatic,Used,Family,Blue,Recommended
Audi RS7,162.07,5.6,4,Luxury,Diesel,Automatic,New,Family,Grey,Recommended
Lexus LC500h,278.74,5.6,4,Luxury,Petrol,Automatic,Used,Family,Blue,Not Recommended
Bentley Continental GT,94.87,6.5,5,Luxury,Hybrid,Manual,Used,Luxury,Red,Not Recommended
BMW Z4,54.2,13.2,5,Luxury,Petrol,Automatic,New,Sports,Black,Recommended
Bentley Continental GT,124.14,7.7,4,Luxury,Hybrid,Automatic,New,Luxury,Grey,Recommended
Porsche Cayenne,179.35,12.2,4,Luxury,Diesel,Manual,New,Luxury,Black,Recommended
Range Rover Sport,203.47,7.9,2,Luxury,Hybrid,Manual,Used,Family,Blue,Not Recommended
BMW M5,285.36,8.7,5,Luxury,Hybrid,Automatic,New,Family,Red,Recommended
Lexus LC500h,174.33,11.6,5,Luxury,Petrol,Manual,Used,Sports,Grey,Recommended
Lamborghini Huracan,225.96,11.7,2,Luxury,Petrol,Manual,New,Luxury,Red,Recommended
Range Rover Sport,124.45,8.6,5,Luxury,Hybrid,Manual,Used,Luxury,Grey,Not Recommended
Aston Martin Vantage,37.19,11.5,4,Luxury,Hybrid,Manual,New,Luxury,Grey,Recommended
Aston Martin Vantage,41.79,13.1,5,Luxury,Diesel,Automatic,Used,Luxury,Grey,Not Recommended
Audi RS5,286.22,6.8,4,Luxury,Diesel,Manual,New,Sports,Red,Recommended
Mercedes S-Class,241.13,10.9,2,Luxury,Diesel,Manual,New,Family,Black,Recommended
Range Rover Sport,282.65,14.8,4,Luxury,Hybrid,Automatic,Used,Sports,White,Not Recommended
BMW Z4,299.75,9.2,5,Luxury,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Mercedes S-Class,166.48,10.1,4,Luxury,Petrol,Manual,New,Sports,Red,Not Recommended
Mercedes AMG GT,252.53,6.5,4,Luxury,Petrol,Automatic,Used,Luxury,Grey,Recommended
Audi RS5,90.23,6.4,4,Luxury,Petrol,Automatic,Used,Luxury,Black,Not Recommended
Lamborghini Huracan,299.67,10.6,4,Luxury,Diesel,Manual,Used,Family,Blue,Recommended
Jaguar F-Type,172.33,10.2,5,Luxury,Petrol,Automatic,New,Sports,Blue,Not Recommended
Rolls-Royce Phantom,66.83,7.2,2,Luxury,Hybrid,Manual,Used,Family,Black,Not Recommended
Porsche 911,129.99,12.2,2,Luxury,Hybrid,Automatic,New,Sports,White,Not Recommended
Mercedes S-Class,284.58,11.7,2,Luxury,Diesel,Automatic,New,Luxury,Grey,Not Recommended
Jaguar XF,232.35,8.1,5,Luxury,Diesel,Automatic,Used,Sports,Red,Not Recommended
BMW Z4,294.06,14.4,4,Luxury,Diesel,Manual,Used,Sports,Grey,Recommended
Range Rover Sport,269.43,9.2,5,Luxury,Hybrid,Manual,New,Sports,Grey,Recommended
Land Rover Range Rover,281.45,6.8,5,Luxury,Petrol,Automatic,Used,Family,Red,Recommended
Rolls-Royce Phantom,265.23,13.8,5,Luxury,Petrol,Automatic,New,Sports,Red,Not Recommended
Audi RS5,262.43,8.6,4,Luxury,Hybrid,Manual,New,Sports,Grey,Recommended
BMW Z4,298.14,14.8,5,Luxury,Petrol,Manual,New,Family,Grey,Not Recommended
BMW M5,160.76,7.6,2,Luxury,Hybrid,Manual,Used,Luxury,White,Recommended
Mercedes AMG GT,168.42,5.9,5,Luxury,Hybrid,Automatic,New,Family,White,Not Recommended
Lamborghini Huracan,75.83,13.5,4,Luxury,Hybrid,Manual,Used,Luxury,Blue,Not Recommended
Jaguar XF,124.33,7.6,4,Luxury,Petrol,Automatic,New,Luxury,Blue,Recommended
Mercedes S-Class,101.07,11.3,5,Luxury,Petrol,Automatic,Used,Sports,Black,Recommended
Land Rover Range Rover,273.31,6.9,5,Luxury,Diesel,Manual,New,Luxury,Black,Recommended
Porsche Panamera,62.06,5.2,2,Luxury,Diesel,Automatic,Used,Sports,White,Recommended
Lexus LC500h,88.43,12.4,5,Luxury,Petrol,Automatic,Used,Sports,Grey,Recommended
Jaguar F-Type,145.67,14.1,2,Luxury,Hybrid,Automatic,New,Luxury,Grey,Not Recommended
Rolls-Royce Phantom,296.45,14.0,4,Luxury,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Rolls-Royce Ghost,225.93,12.9,5,Luxury,Petrol,Manual,New,Sports,Blue,Not Recommended
Jaguar F-Type,290.57,10.7,5,Luxury,Petrol,Manual,New,Luxury,Blue,Recommended
Porsche Cayenne,173.69,5.3,2,Luxury,Petrol,Manual,New,Family,Blue,Recommended
Mercedes AMG GT,261.28,9.8,5,Luxury,Hybrid,Manual,Used,Family,White,Not Recommended
Bentley Continental GT,34.35,14.7,4,Luxury,Hybrid,Manual,New,Sports,Black,Recommended
BMW Z4,242.35,13.1,4,Luxury,Petrol,Automatic,New,Luxury,Grey,Recommended
Aston Martin Vantage,130.24,12.3,5,Luxury,Diesel,Manual,Used,Family,Blue,Recommended
Range Rover Sport,96.54,10.0,5,Luxury,Hybrid,Manual,Used,Sports,White,Not Recommended
Audi A8L,220.69,14.5,4,Luxury,Diesel,Manual,New,Sports,Blue,Not Recommended
BMW Z4,278.03,7.5,5,Luxury,Petrol,Manual,Used,Luxury,Red,Not Recommended
Porsche Panamera,242.79,8.5,4,Luxury,Petrol,Automatic,New,Sports,Grey,Not Recommended
Mercedes S-Class,59.75,7.7,4,Luxury,Diesel,Manual,New,Family,Blue,Not Recommended
Mercedes S-Class,105.31,6.6,4,Luxury,Hybrid,Manual,New,Family,Grey,Recommended
Rolls-Royce Phantom,274.76,8.7,5,Luxury,Petrol,Automatic,New,Family,Blue,Recommended
Mercedes AMG GT,209.77,13.6,4,Luxury,Hybrid,Automatic,Used,Sports,Grey,Not Recommended
Lamborghini Huracan,285.53,7.7,5,Luxury,Diesel,Manual,New,Sports,Black,Recommended
Jaguar XF,134.97,8.2,2,Luxury,Diesel,Automatic,Used,Luxury,Blue,Recommended
Land Rover Range Rover,126.5,13.4,2,Luxury,Diesel,Manual,Used,Family,Blue,Not Recommended
Audi A8L,238.66,9.2,2,Luxury,Hybrid,Automatic,Used,Sports,Grey,Not Recommended
Audi A8L,131.03,6.1,4,Luxury,Hybrid,Automatic,New,Sports,White,Not Recommended
Lamborghini Huracan,284.68,8.2,2,Luxury,Diesel,Automatic,Used,Family,Black,Not Recommended
Audi RS7,198.99,5.3,4,Luxury,Petrol,Automatic,Used,Sports,Black,Recommended
Rolls-Royce Phantom,225.78,7.6,5,Luxury,Hybrid,Automatic,New,Luxury,Blue,Not Recommended
Porsche 911,215.45,7.8,2,Luxury,Diesel,Manual,New,Family,White,Not Recommended
Porsche 911,84.42,10.7,5,Luxury,Hybrid,Automatic,Used,Luxury,Black,Recommended
Range Rover Sport,198.08,13.9,5,Luxury,Diesel,Automatic,Used,Family,Red,Recommended
BMW Z4,277.99,6.9,2,Luxury,Hybrid,Automatic,Used,Family,Black,Recommended
